"ee.Taxon","Definition.x","Definition.y","N"
"rat","central nervous system disease","glial cell (sensu Vertebrata)",2
"rat","nervous system disease","glial cell",2
"rat","nervous system disease","macroglial cell",2
"rat","nervous system disease","astrocyte",2
"rat","nervous system disease","glial cell (sensu Vertebrata)",2
"human","Alzheimer's disease","neuron associated cell",2
"human","Alzheimer's disease","glial cell",2
"human","Alzheimer's disease","macroglial cell",2
"human","Alzheimer's disease","astrocyte",2
"human","Alzheimer's disease","glial cell (sensu Vertebrata)",2
"human","tauopathy","neuron associated cell",2
"human","tauopathy","glial cell",2
"human","tauopathy","macroglial cell",2
"human","tauopathy","astrocyte",2
"human","tauopathy","glial cell (sensu Vertebrata)",2
"mouse","Alzheimer's disease","basal forebrain",2
"mouse","tauopathy","basal forebrain",2
"mouse","Alzheimer's disease","choroid plexus",2
"mouse","Alzheimer's disease","brain ventricle/choroid plexus",2
"mouse","Alzheimer's disease","brain ventricle",2
"mouse","Alzheimer's disease","ventricular system of brain",2
"mouse","tauopathy","choroid plexus",2
"mouse","tauopathy","brain ventricle/choroid plexus",2
"mouse","tauopathy","brain ventricle",2
"mouse","tauopathy","ventricular system of brain",2
"mouse","Alzheimer's disease","CA3 field of hippocampus",2
"mouse","tauopathy","CA3 field of hippocampus",2
"mouse","medulloblastoma","brain",2
"mouse","infratentorial cancer","brain",2
"mouse","central nervous system disease","primary motor cortex",2
"mouse","encephalomyelitis","brain",2
"mouse","nervous system disease","primary motor cortex",2
"mouse","amyotrophic lateral sclerosis","spinal cord motor neuron",2
"rat","central nervous system disease","metencephalon",2
"rat","central nervous system disease","hindbrain",2
"rat","central nervous system disease","cerebellum",2
"rat","central nervous system disease","segmental subdivision of hindbrain",2
"rat","nervous system disease","metencephalon",2
"rat","nervous system disease","hindbrain",2
"rat","nervous system disease","cerebellum",2
"rat","nervous system disease","segmental subdivision of hindbrain",2
"mouse","Alzheimer's disease","dentate gyrus of hippocampal formation",2
"mouse","tauopathy","dentate gyrus of hippocampal formation",2
"mouse","spinal muscular atrophy","motor neuron",2
"mouse","spinal muscular atrophy","efferent neuron",2
"mouse","spinal muscular atrophy","neuron",2
"mouse","spinal muscular atrophy","neural cell",2
"mouse","peripheral nervous system disease","neuron",2
"mouse","peripheral nervous system disease","neural cell",2
"mouse","neuropathy","neuron",2
"mouse","neuropathy","neural cell",2
"rat","status epilepticus","dentate gyrus of hippocampal formation",2
"human","leukodystrophy","neural cell",2
"human","leukodystrophy","brain",2
"human","cerebral degeneration","neural cell",2
"human","cerebral degeneration","brain",2
"human","central nervous system disease","brain microvascular endothelial cell",2
"human","nervous system disease","brain microvascular endothelial cell",2
"mouse","brain infarction","cerebral hemisphere",2
"mouse","brain infarction","telencephalon",2
"mouse","middle cerebral artery infarction","cerebral hemisphere",2
"mouse","middle cerebral artery infarction","telencephalon",2
"mouse","cerebral infarction","cerebral hemisphere",2
"mouse","cerebral infarction","telencephalon",2
"rat","epilepsy","cerebral subcortex",2
"rat","epilepsy","temporal lobe",2
"rat","epilepsy","amygdala",2
"rat","epilepsy","basal ganglion",2
"rat","epilepsy","aggregate regional part of brain",2
"rat","epilepsy","collection of basal ganglia",2
"rat","central nervous system disease","temporal lobe",2
"rat","central nervous system disease","amygdala",2
"rat","nervous system disease","temporal lobe",2
"rat","nervous system disease","amygdala",2
"rat","brain disease","cerebral subcortex",2
"rat","brain disease","temporal lobe",2
"rat","brain disease","amygdala",2
"rat","brain disease","basal ganglion",2
"rat","brain disease","aggregate regional part of brain",2
"rat","brain disease","collection of basal ganglia",2
"mouse","neurodegenerative disease","astrocyte of the spinal cord",2
"mouse","motor neuron disease","astrocyte of the spinal cord",2
"mouse","central nervous system disease","astrocyte of the spinal cord",2
"mouse","amyotrophic lateral sclerosis","astrocyte of the spinal cord",2
"mouse","nervous system disease","astrocyte of the spinal cord",2
"mouse","neurodegenerative disease","neuron of the forebrain",2
"mouse","central nervous system disease","neuron of the forebrain",2
"mouse","nervous system disease","neuron of the forebrain",2
"human","prion disease","brain",2
"human","prion disease","cerebral hemisphere",2
"human","prion disease","forebrain",2
"human","prion disease","telencephalon",2
"human","prion disease","regional part of brain",2
"human","prion disease","brain gray matter",2
"human","prion disease","lobe of cerebral hemisphere",2
"human","prion disease","gray matter of forebrain",2
"human","epilepsy","hippocampal field",2
"human","epilepsy","CA3 field of hippocampus",2
"human","focal epilepsy","hippocampal field",2
"human","focal epilepsy","CA3 field of hippocampus",2
"human","temporal lobe epilepsy","hippocampal field",2
"human","temporal lobe epilepsy","CA3 field of hippocampus",2
"human","brain disease","hippocampal field",2
"human","brain disease","CA3 field of hippocampus",2
"human","hepatic encephalopathy","pallium",2
"human","hepatic encephalopathy","cerebral cortex",2
"human","hepatic encephalopathy","brain gray matter",2
"human","hepatic encephalopathy","cerebral hemisphere gray matter",2
"human","hepatic encephalopathy","gray matter of telencephalon",2
"human","hepatic encephalopathy","gray matter of forebrain",2
"human","sensory system disease","neural cell",2
"human","sensory system disease","retinal pigment epithelial cell",2
"human","sensory system disease","retinal cell",2
"human","eye and adnexa disease","neural cell",2
"human","eye and adnexa disease","retinal pigment epithelial cell",2
"human","eye and adnexa disease","retinal cell",2
"human","eye disease","neural cell",2
"human","eye disease","retinal pigment epithelial cell",2
"human","eye disease","retinal cell",2
"human","retinal disease","neural cell",2
"human","retinal disease","retinal pigment epithelial cell",2
"human","retinal disease","retinal cell",2
"human","nervous system disease","retinal pigment epithelial cell",2
"human","nervous system disease","retinal cell",2
"human","hepatic encephalopathy","lobe of cerebral hemisphere",2
"human","central nervous system disease","fusiform gyrus",2
"human","nervous system disease","fusiform gyrus",2
"rat","multiple sclerosis","neuron associated cell",2
"rat","multiple sclerosis","neural cell",2
"rat","demyelinating disease","neuron associated cell",2
"rat","demyelinating disease","neural cell",2
"mouse","status epilepticus","pallium",2
"mouse","status epilepticus","limbic system",2
"mouse","status epilepticus","brain",2
"mouse","status epilepticus","cerebral cortex",2
"mouse","status epilepticus","cerebral hemisphere",2
"mouse","status epilepticus","forebrain",2
"mouse","status epilepticus","telencephalon",2
"mouse","status epilepticus","Ammon's horn",2
"mouse","status epilepticus","hippocampal formation",2
"mouse","status epilepticus","limbic lobe",2
"mouse","status epilepticus","regional part of brain",2
"mouse","status epilepticus","brain gray matter",2
"mouse","status epilepticus","cerebral hemisphere gray matter",2
"mouse","status epilepticus","gray matter of telencephalon",2
"mouse","status epilepticus","lobe of cerebral hemisphere",2
"mouse","status epilepticus","gray matter of forebrain",2
"mouse","neurodegenerative disease","oligodendrocyte",2
"mouse","central nervous system disease","oligodendrocyte",2
"mouse","nervous system disease","oligodendrocyte",2
"human","Huntington's disease","neural cell",2
"human","Alzheimer's disease","cholinergic neuron",2
"human","neurodegenerative disease","cholinergic neuron",2
"human","central nervous system disease","cholinergic neuron",2
"human","tauopathy","cholinergic neuron",2
"human","nervous system disease","cholinergic neuron",2
"mouse","central nervous system disease","brain endothelium",2
"mouse","nervous system disease","brain endothelium",2
"mouse","brain disease","brain endothelium",2
"rat","focal epilepsy","pallium",2
"rat","focal epilepsy","brain",2
"rat","focal epilepsy","cerebral cortex",2
"rat","focal epilepsy","cerebral hemisphere",2
"rat","focal epilepsy","forebrain",2
"rat","focal epilepsy","telencephalon",2
"rat","focal epilepsy","hippocampal formation",2
"rat","focal epilepsy","regional part of brain",2
"rat","focal epilepsy","brain gray matter",2
"rat","focal epilepsy","hippocampal field",2
"rat","focal epilepsy","CA1 field of hippocampus",2
"rat","focal epilepsy","cerebral hemisphere gray matter",2
"rat","focal epilepsy","gray matter of telencephalon",2
"rat","focal epilepsy","gray matter of forebrain",2
"rat","temporal lobe epilepsy","pallium",2
"rat","temporal lobe epilepsy","brain",2
"rat","temporal lobe epilepsy","cerebral cortex",2
"rat","temporal lobe epilepsy","cerebral hemisphere",2
"rat","temporal lobe epilepsy","forebrain",2
"rat","temporal lobe epilepsy","telencephalon",2
"rat","temporal lobe epilepsy","hippocampal formation",2
"rat","temporal lobe epilepsy","regional part of brain",2
"rat","temporal lobe epilepsy","brain gray matter",2
"rat","temporal lobe epilepsy","hippocampal field",2
"rat","temporal lobe epilepsy","CA1 field of hippocampus",2
"rat","temporal lobe epilepsy","cerebral hemisphere gray matter",2
"rat","temporal lobe epilepsy","gray matter of telencephalon",2
"rat","temporal lobe epilepsy","gray matter of forebrain",2
"mouse","neurodegenerative disease","corpus callosum",2
"mouse","neurodegenerative disease","cerebral hemisphere white matter",2
"mouse","neurodegenerative disease","intercerebral commissure",2
"mouse","neurodegenerative disease","brain white matter",2
"mouse","neurodegenerative disease","dorsal telencephalic commissure",2
"mouse","neurodegenerative disease","brain commissure",2
"mouse","neurodegenerative disease","tract of brain",2
"mouse","neurodegenerative disease","white matter of telencephalon",2
"mouse","neurodegenerative disease","white matter of forebrain",2
"mouse","neurodegenerative disease","commissure of telencephalon",2
"mouse","multiple sclerosis","cerebral hemisphere",2
"mouse","multiple sclerosis","forebrain",2
"mouse","multiple sclerosis","telencephalon",2
"mouse","multiple sclerosis","corpus callosum",2
"mouse","multiple sclerosis","cerebral hemisphere white matter",2
"mouse","multiple sclerosis","intercerebral commissure",2
"mouse","multiple sclerosis","brain white matter",2
"mouse","multiple sclerosis","dorsal telencephalic commissure",2
"mouse","multiple sclerosis","brain commissure",2
"mouse","multiple sclerosis","tract of brain",2
"mouse","multiple sclerosis","white matter of telencephalon",2
"mouse","multiple sclerosis","white matter of forebrain",2
"mouse","multiple sclerosis","commissure of telencephalon",2
"mouse","demyelinating disease","cerebral hemisphere",2
"mouse","demyelinating disease","forebrain",2
"mouse","demyelinating disease","telencephalon",2
"mouse","demyelinating disease","corpus callosum",2
"mouse","demyelinating disease","cerebral hemisphere white matter",2
"mouse","demyelinating disease","intercerebral commissure",2
"mouse","demyelinating disease","brain white matter",2
"mouse","demyelinating disease","dorsal telencephalic commissure",2
"mouse","demyelinating disease","brain commissure",2
"mouse","demyelinating disease","tract of brain",2
"mouse","demyelinating disease","white matter of telencephalon",2
